"","femur_circumference..mm.","femur_diamter..mm.","femur_length..mm.","humerus_diameter..mm.","humerus_length..mm.","tarsus_circumference..mm.","tarsus_diameter..mm.","tarsus_length..mm.","tibia_length..mm.","humerus_circumference..mm.","coracoid.HAF..mm.","coracoid.shaft.width","coracoid.max.length"
"Accipitriformes",28.404002030919,22.4686081102113,26.76491865843,26.6533783312565,17.3712714067865,38.4346067394223,32.9489216777657,53.2323396230649,31.6392515313436,23.3396617287159,3.61065794852881,29.7908303072961,20.9613559263514
"Anseriformes",21.8771895078775,23.3774543672069,14.3091760315175,28.5428860537128,18.0574127417611,26.3701524918206,22.3286274480664,20.8826616539816,16.4949715159028,23.9996409910358,12.7513329187516,17.8126500389588,14.5372042677488
"Apodiformes",26.3314600282338,34.24227732649,22.5201007044216,67.2625410034743,21.3767305421683,65.0770275025495,45.5132229535765,46.8192669651559,30.6598577985261,73.0013512711171,10.0556311054441,63.3277357766012,20.3382735638113
"Charadriiformes",25.0443382563921,25.3249102682604,21.5030438201102,21.5085106543319,18.2486190501216,25.714751800721,26.73787153836,99.5341863703967,60.8192460846196,14.3953849331944,13.2866355968871,18.4880552720503,10.9771278182827
"Ciconiiformes",21.1852525053009,28.5744726302699,34.6916813904843,27.3845745597357,21.956245854775,29.5810439521989,41.9730146001689,34.2537124924707,28.9064962517134,20.4779097542525,14.9567391930298,34.3479365040679,26.6066809160084
"Columbiformes",13.2143757771232,14.1827574541897,12.021530243373,19.9766519028814,13.5993214804273,20.8929431555372,21.8816585114619,20.8107771317299,11.6722178193443,15.0050167290947,1.17059409510606,13.608505250755,12.7395242321048
"Coraciiformes",21.7050620178144,18.0116007601272,14.9510394137418,20.483611436993,23.235578606759,36.2126191391384,34.3915911781956,96.7155265727513,24.4287653777973,15.0758014945543,15.5657206608784,19.2992419547625,24.5591314770098
"Falconiformes",15.4964353891504,14.1930419301734,9.44129175920316,31.0127232700981,12.3484000436591,21.256156521788,16.0255597133401,25.0885414558113,11.940643004156,22.0412794109855,1.70315003085914,25.6126774428535,11.3907264621164
"Galliformes",22.2244263233052,19.4367743602693,23.3448711521773,34.1237495528411,25.4033772742311,48.5906615617759,30.2649454107552,44.8006799892948,33.4131916547924,20.556867276214,23.7722220451963,30.1576565162036,17.6689434452315
"Gruiformes",23.2123776129463,31.8614443917296,53.0657293552545,43.0566845224931,33.4350063042467,38.6227345963316,42.5602904147741,57.5404638132963,46.058384940158,28.7498337573407,18.2866647954959,43.2717594612053,30.4334264778229
"Passeriformes",14.9073861198998,17.4503154252419,14.2743292174361,16.6260425332555,9.1781876262598,21.5758322786367,20.0890869135821,22.928569721016,19.3872927996458,13.8962534496488,6.59710161561727,17.3594512996946,10.903737262924
"Podicipediformes",31.6133873786161,21.345223617163,24.3925297414109,57.006431014019,11.9993254779815,32.2163979592928,34.185778919284,16.3516565606168,14.6878513380925,31.2225046822573,9.27371732521156,10.2882294518942,15.2462710973226
"Procellariiformes",29.3769950768244,31.1560770977048,12.3382952227045,19.4629208543407,22.8953508265586,31.9413251106667,29.532316075256,79.1810812507271,59.8428807565159,17.7307797828639,18.0322493991778,25.2917777856325,17.0881759122004
"Psittaciformes",29.4064758794702,22.0940873448985,17.4003024619879,29.7856825489416,10.8005268559437,31.5508422999454,34.9315096954306,39.4581926776917,18.5296117058082,21.2861865230212,6.93932175120149,16.2278357129455,15.6039270755919
"Strigiformes",22.6945170708188,19.5005764212498,17.6827142232576,26.0933391211968,24.7516708828566,26.8885261519562,16.7220801304106,64.9913269328817,34.5542845861521,22.4555230787359,16.9205402300307,23.2848668850472,20.9287719403685
"Suliformes",21.8393565204423,16.9243663141031,14.6308057032846,24.5701772436017,15.4764739597558,19.9851749767274,19.4775057184293,11.737128906339,10.2154528640247,17.7518698719737,10.6049242255575,18.2248522473796,9.79310004902859
"Trogoniformes",13.7155123659703,21.3969556702054,3.46531087656179,8.04826596007126,3.08260477117647,10.5025312432077,12.4983902457209,2.29012181004166,8.71931554404533,15.8760420011366,2.08730498571192,6.89529137263442,6.90964688797273
"Caprimulgiformes",25.6352687381139,17.2004372340663,10.546647768921,19.0302651370299,7.00296803633319,14.606403850169,19.3033566576777,39.1415391643249,27.9842094960309,39.2035827679677,12.9660032417581,19.0703635783991,16.9757061275495
