"","femur_circumference..mm.","femur_diamter..mm.","femur_length..mm.","humerus_diameter..mm.","humerus_length..mm.","tarsus_circumference..mm.","tarsus_diameter..mm.","tarsus_length..mm.","tibia_length..mm.","humerus_circumference..mm.","coracoid.HAF..mm.","coracoid.shaft.width","coracoid.max.length"
"Accipitriformes",-0.152616628616287,2.1906468512778,-6.28561716105193,2.41417433702676,-3.53728254711383,1.58931810713006,3.50940187108729,-0.984719824308178,-3.55387965477571,-0.576853725509876,2.05503605062123,3.70726949852978,-4.71810563547912
"Anseriformes",0.730661592361487,4.38795988656545,-2.70634818266035,4.19929925960655,-0.991837808799275,1.37839252870853,3.86695663436825,-0.0395908190133995,-2.01462754217726,1.02620042498545,2.18832008941259,3.4688600320065,-4.06196208801272
"Apodiformes",0.31137349823057,2.91106407534954,-4.04532728204267,0.997889358212781,-1.57322700225974,0.601315579373195,2.87345202709158,-2.09419254695046,-5.06058590260129,-0.654129276163556,2.10748926594673,1.11088273302048,-4.11660381784281
"Charadriiformes",0.227769281952972,2.73868078899571,-4.68141597885059,2.22684647245623,-3.47222241264038,1.5446733966561,3.49009477857772,0.910129876040567,-3.08519286149385,-0.380804766433143,1.87034805353646,2.58019408173099,-2.88170092679654
"Ciconiiformes",-0.500710713882416,2.37249363863082,-6.42269168855411,2.19689522083003,-4.627405467641,-0.0435902387537929,2.78289238607414,-1.84415403646246,-3.90904514440207,0.135314104103282,1.46824824255565,3.31706608622559,-6.06471313263816
"Columbiformes",0.474924141631687,3.06961381582936,-3.69208246196186,2.19032949106319,-4.3516528049941,1.70404013672962,3.50026835343401,-2.73066086474172,-5.08787107237227,-0.258426009435683,2.1046435751812,3.07706265005765,-4.59185695267308
"Coraciiformes",0.218176011068575,2.84454711262628,-4.35020584236908,1.7341211714378,-4.99262012461282,0.83443771506637,3.03081000329491,-2.12952000310475,-5.75034548520102,-0.632885075971772,2.07625453813549,2.81069896522376,-5.21926330931805
"Falconiformes",-0.636353813919092,2.20309749098126,-5.34592478277655,0.680931500192608,-4.35836929884953,1.63278117297329,2.95375202705232,-2.53633618439043,-5.64059941414432,-0.481162324330537,2.14790520710238,3.48304618522107,-4.35101356479952
"Galliformes",-1.25041627793066,3.02558821569453,-5.25607422896172,2.74461837201831,-2.221072848141,0.944295082789995,3.70872003502822,-1.08927113595396,-4.04816685247503,-0.506147289292501,2.77259445545811,3.22524683162708,-3.98635768973934
"Gruiformes",-0.489448271088158,2.33287826080325,-5.3717261480854,2.96381151419828,-2.89638104194193,-0.352964528466773,1.99176183239689,-1.87910343814293,-4.49073698732855,0.604352345055133,2.01038873253762,3.09863427028635,-3.9687785758773
"Passeriformes",-0.48712592476125,2.39681805524021,-4.85863891037805,1.95959600086231,-4.48999262774869,0.453788652900518,2.99511147971429,-7.02093532647537,-7.55303751263596,-0.995959734416326,2.02349304072168,3.22618153157934,-5.04282112131878
"Podicipediformes",-2.62207938145481,1.49706939123254,-8.8271958038572,3.81290026685032,-5.36481452078282,0.841004985860376,2.89957847479022,-3.32105549593138,-4.79119455642162,-1.43826109602031,1.8126551334321,3.39450253619077,-3.73217034876302
"Procellariiformes",0.0895932654188148,2.85366795063992,-3.82371974521073,1.86243215601227,-2.740882684967,0.672512003353533,3.0878577965461,-7.85522057794258,-6.2948555514227,-0.754108073264626,1.46637033214555,2.63927990102511,-4.88053496272982
"Psittaciformes",0.268595306877899,2.72716125151959,-4.66962213842903,2.13885027483305,-3.30128148084309,0.644909726587184,2.58414874845978,-1.50353686314262,-5.12315174246756,-0.752017209833733,1.77036446755147,2.56863071869587,-5.16000125492684
"Strigiformes",0.280005211312825,2.83188956904092,-3.86396628777439,2.67560280451889,-3.05021987400577,1.07803342994867,2.90212248933788,-0.247833344826334,-4.07078399238024,0.111134798189335,2.49629251299814,3.17290475500878,-3.35786783759799
"Suliformes",0.235014683187774,3.82206598451752,-1.79018297723123,3.42077524939261,-2.27156594902904,0.23504049837642,3.27465092604709,-1.30501015832693,-2.97545822421479,1.39852605829868,2.59443695175022,4.7468297992213,-3.18182223745855
"Trogoniformes",1.89616755889881,3.16120835810635,-3.42772858142983,1.67334854102617,-3.25657956579911,2.17792084789132,3.7596237203501,-6.17369681857544,-5.36423055544687,0.00575950591557106,2.50469550627431,2.86787643530629,-4.36203334957582
"Caprimulgiformes",1.61879079527469,3.00112674375142,-4.50091030117854,2.33097943718191,-2.4764921490944,2.66418226752387,3.40633512289691,2.89799753204655,-2.78137359326613,4.02230267511446,2.6288915856052,2.73385195496148,-1.57701561885342
